,population,state,year,Income,Education,officer_count,officer_rate_per_1000
0,3594524,CT,2014,75842,92,8804,2
1,932487,DE,2014,62179,90,2849,3
2,19845911,FL,2014,49876,89,45921,2
3,10067278,GA,2014,53567,87,37813,4
4,1330513,ME,2014,55897,92,2332,2
5,5957283,MD,2014,82332,91,16311,3
6,6762596,MA,2014,68264,95,17224,2
7,1333341,NH,2014,79340,93,2756,2
8,8864525,NJ,2014,70525,89,30386,3
9,19651049,NY,2014,58707,88,62734,3
10,9932887,NC,2014,50572,94,25477,3
11,12788313,PA,2014,59640,92,26926,2
12,1055936,RI,2014,63380,90,2506,2
13,4823617,SC,2014,48567,88,12436,3
14,625214,VT,2014,65623,92,1331,2
15,8310993,VA,2014,71511,96,19689,2
16,1849489,WV,2014,42754,91,3424,2
17,3587122,CT,2015,78655,93,7981,2
18,941252,DE,2015,62325,88,2846,3
19,20209042,FL,2015,52687,89,49130,2
20,10178447,GA,2015,54784,87,38627,4
21,1328262,ME,2015,54771,93,2376,2
22,5985562,MD,2015,79416,91,17797,3
23,6794228,MA,2015,73229,94,17399,3
24,1336350,NH,2015,81661,93,2763,2
25,8867949,NJ,2015,73764,90,33529,4
26,19654666,NY,2015,62594,88,64014,3
27,10031646,NC,2015,54815,94,25504,3
28,12784826,PA,2015,65166,92,26916,2
29,1056065,RI,2015,60107,91,2450,2
30,4891938,SC,2015,50027,88,13288,3
31,625216,VT,2015,64200,92,1224,2
32,8361808,VA,2015,66350,92,19590,2
33,1842050,WV,2015,46212,92,4141,2
34,3578141,CT,2016,80886,92,8272,2
35,948921,DE,2016,61840,89,2937,3
36,20613477,FL,2016,54521,88,49488,2
37,10301890,GA,2016,57026,87,39030,4
38,1331317,ME,2016,54180,92,2714,2
39,6003323,MD,2016,78581,92,19438,3
40,6823608,MA,2016,76990,95,17571,3
41,1342307,NH,2016,81245,94,2773,2
42,8870827,NJ,2016,72943,90,33882,4
43,19633428,NY,2016,65453,89,65482,3
44,10154788,NC,2016,57278,93,25591,3
45,12782275,PA,2016,64965,92,26630,2
46,1056770,RI,2016,65550,92,2478,2
47,4957968,SC,2016,57888,88,13213,3
48,623657,VT,2016,64814,91,1461,2
49,8410106,VA,2016,70795,93,19809,2
50,1831023,WV,2016,47253,90,3985,2
51,3573297,CT,2017,77494,92,7325,2
52,956823,DE,2017,67750,92,2282,2
53,20963613,FL,2017,55365,89,45976,2
54,10410330,GA,2017,60475,88,24089,2
55,1334612,ME,2017,55605,93,2645,2
56,6023868,MD,2017,85618,91,18624,3
57,6859789,MA,2017,79517,95,16504,2
58,1348787,NH,2017,78877,94,2764,2
59,8885525,NJ,2017,74299,91,31341,3
60,19589572,NY,2017,64185,89,62700,3
61,10268233,NC,2017,51674,93,24202,2
62,12787641,PA,2017,63916,93,25844,2
63,1055673,RI,2017,68209,93,2511,2
64,5021268,SC,2017,56879,89,9139,2
65,624344,VT,2017,66416,92,1193,2
66,8463587,VA,2017,73851,93,19082,2
67,1817004,WV,2017,48973,90,3674,2
68,3571520,CT,2018,74131,93,7792,2
69,965479,DE,2018,66190,89,2315,2
70,21244317,FL,2018,55634,90,44693,2
71,10511131,GA,2018,56832,89,27649,3
72,1339057,ME,2018,59726,94,2703,2
73,6035802,MD,2018,87785,92,16981,3
74,6882635,MA,2018,87909,95,16717,2
75,1353465,NH,2018,82820,93,2838,2
76,8886025,NJ,2018,75520,90,31819,4
77,19530351,NY,2018,68493,90,62767,3
78,10381615,NC,2018,54336,94,24598,2
79,12800922,PA,2018,65693,92,25505,2
80,1058287,RI,2018,63394,93,2494,2
81,5084156,SC,2018,58485,90,12684,2
82,624358,VT,2018,71335,92,1421,2
83,8501286,VA,2018,78549,96,19262,2
84,1804291,WV,2018,51489,91,4702,3
