,State,2014_x,2015_x,2016_x,2017_x,2018_x,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2014_y,2015_y,2016_y,2017_y,2018_y
0,CT,3594524.0,3587122.0,3578141.0,3573297.0,3571520.0,75842,78655,80886,77494,74131,91.76501358563749,92.91509366517609,92.43211848410047,92.40713279540323,93.00734627369933
1,DE,932487.0,941252.0,948921.0,956823.0,965479.0,62179,62325,61840,67750,66190,89.5744552890233,88.46502367490713,89.0984259306325,91.94521194150549,88.72162564845226
2,FL,19845911.0,20209042.0,20613477.0,20963613.0,21244317.0,49876,52687,54521,55365,55634,88.65554120996059,89.24925445530857,88.17502299974777,89.43100938707121,90.02077561029526
3,GA,10067278.0,10178447.0,10301890.0,10410330.0,10511131.0,53567,54784,57026,60475,56832,87.20572467229267,87.47745561744446,87.47161276800993,87.98304160621353,88.81359236557303
4,MA,1330513.0,1328262.0,1331317.0,1334612.0,1339057.0,68264,73229,76990,79517,87909,94.65211645794844,93.58416099939659,95.45780151081009,94.85917586536722,95.0036131557238
5,MD,5957283.0,5985562.0,6003323.0,6023868.0,6035802.0,82332,79416,78581,85618,87785,90.72135114397456,91.41442850890651,91.57369198634672,91.48474105597685,91.50700814422098
6,ME,6762596.0,6794228.0,6823608.0,6859789.0,6882635.0,55897,54771,54180,55605,59726,91.844650239956,92.73311077499037,92.08364739221165,92.88233780677076,93.52511486030326
7,NC,1333341.0,1336350.0,1342307.0,1348787.0,1353465.0,50572,54815,57278,51674,54336,94.17789139577158,93.8147583735566,93.43504083854728,93.25330282562021,94.17075679465755
8,NH,8864525.0,8867949.0,8870827.0,8885525.0,8886025.0,79340,81661,81245,78877,82820,92.6874659969423,93.23156387890144,93.57468313508896,94.34134151799763,92.86060818015322
9,NJ,19651049.0,19654666.0,19633428.0,19589572.0,19530351.0,70525,73764,72943,74299,75520,89.36575479196007,89.89072453747964,89.79902169069064,91.11188893835266,90.45178625677643
10,NY,9932887.0,10031646.0,10154788.0,10268233.0,10381615.0,58707,62594,65453,64185,68493,87.70349285718956,87.87448997853569,88.56898554539306,89.13314428823695,89.87155461842258
11,PA,12788313.0,12784826.0,12782275.0,12787641.0,12800922.0,59640,65166,64965,63916,65693,91.70355600501186,91.91167361573906,92.40718232219533,92.66058520282327,92.46766589715344
12,RI,1055936.0,1056065.0,1056770.0,1055673.0,1058287.0,63380,60107,65550,68209,63394,89.68263581854521,91.16593112293009,92.42840211830715,93.13120201158456,93.05332372878227
13,SCA,4823617.0,4891938.0,4957968.0,5021268.0,5084156.0,48567,50027,57888,56879,58485,87.85357341419855,88.12475191014035,88.01783472231425,88.75621867016041,89.6341534571623
14,VA,625214.0,625216.0,623657.0,624344.0,624358.0,71511,66350,70795,73851,78549,95.67467884909577,91.78177426037372,93.1984593896813,93.38648039531336,95.98682343822449
15,VT,8310993.0,8361808.0,8410106.0,8463587.0,8501286.0,65623,64200,64814,66416,71335,91.83499185269278,92.18751383857796,91.31727789804322,92.03173940279808,92.27810212566227
16,WV,1849489.0,1842050.0,1831023.0,1817004.0,1804291.0,42754,46212,47253,48973,51489,90.66979335258823,91.826845239166,89.5741456597884,89.98643870224576,90.99707227516441
