Location,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander
Connecticut,0.667,0.097,0.163,0.045,<.01,N/A
Delaware,0.626,0.212,0.092,0.04,N/A,N/A
Florida,0.539,0.151,0.258,0.028,<.01,<.01
Georgia,0.529,0.309,0.096,0.04,<.01,N/A
Maine,0.937,0.011,0.016,0.011,0.01,N/A
Maryland,0.507,0.292,0.102,0.065,<.01,<.01
Massachusetts,0.717,0.069,0.119,0.064,<.01,N/A
New Hampshire,0.906,0.013,0.036,0.027,<.01,N/A
New Jersey,0.55,0.125,0.205,0.098,<.01,N/A
New York,0.552,0.142,0.193,0.087,<.01,<.01
North Carolina,0.631,0.21,0.094,0.028,0.011,<.01
Pennsylvania,0.767,0.105,0.073,0.034,<.01,N/A
Rhode Island,0.722,0.054,0.155,0.035,<.01,N/A
South Carolina,0.64,0.267,0.056,0.015,<.01,N/A
Vermont,0.931,0.012,0.017,0.017,N/A,N/A
Virginia,0.619,0.185,0.093,0.066,<.01,<.01
West Virginia,0.926,0.037,0.012,0.01,<.01,N/A
